insee_code,categorie_terrain,commune_name,median_price_m2,nb_transactions,perc_bare_land
83145,Terrains Standards,VARAGES,408.8586030664395,17,0.5882352941176471
83146,Micro-terrains,LA VERDIERE,4214.285714285715,6,0.6666666666666666
83146,Terrains Standards,LA VERDIERE,711.72,17,0.47058823529411764
83148,Micro-terrains,VIDAUBAN,2045.4545454545455,9,0.6666666666666666
83148,Terrains Standards,VIDAUBAN,655.0,122,0.47540983606557374
83149,Micro-terrains,VILLECROZE,9675.0,2,1.0
83149,Terrains Standards,VILLECROZE,780.0,17,0.5882352941176471
83150,Micro-terrains,VINON-SUR-VERDON,250.0,3,1.0
83150,Terrains Standards,VINON-SUR-VERDON,683.5101683501684,42,0.5
83151,Micro-terrains,VINS-SUR-CARAMY,2993.421052631579,4,0.5
83151,Terrains Standards,VINS-SUR-CARAMY,628.0,12,0.5833333333333334
83152,Terrains Standards,RAYOL-CANADEL-SUR-MER,1732.17,20,0.6
83153,Micro-terrains,SAINT-MANDRIER-SUR-MER,24394.666666666668,16,1.0
83153,Terrains Standards,SAINT-MANDRIER-SUR-MER,1309.8831235550988,22,0.45454545454545453
83154,Terrains Standards,SAINT-ANTONIN-DU-VAR,660.0,16,0.6875
84001,Micro-terrains,ALTHEN DES PALUDS,7685.185185185185,3,1.0
84001,Terrains Standards,ALTHEN DES PALUDS,1258.433734939759,33,0.5757575757575758
84002,Terrains Standards,ANSOUIS,288.9344262295082,9,0.8888888888888888
84003,Grands Domaines,APT,67.90882424835004,2,0.5
84003,Micro-terrains,APT,2682.9268292682927,11,0.8181818181818182
84003,Terrains Standards,APT,384.180790960452,101,0.5148514851485149
84004,Micro-terrains,AUBIGNAN,5697.368421052632,4,0.5
84004,Terrains Standards,AUBIGNAN,348.69211297029307,44,0.45454545454545453
84006,Terrains Standards,AURIBEAU,2600.602409638554,3,0.0
84007,Grands Domaines,AVIGNON,140.30378820228145,14,0.07142857142857142
84007,Micro-terrains,AVIGNON,2210.5263157894738,23,0.9565217391304348
84007,Terrains Standards,AVIGNON,759.8784194528876,368,0.4157608695652174
84008,Micro-terrains,BARROUX (LE),4810.688405797102,2,0.5
84008,Terrains Standards,BARROUX (LE),1493.5182741786516,2,0.0
84009,Micro-terrains,LA BASTIDE DES JOURDANS,3336.9565217391305,5,0.2
84009,Terrains Standards,LA BASTIDE DES JOURDANS,820.3991130820399,13,0.5384615384615384
84010,Terrains Standards,LA BASTIDONNE,672.8778467908903,1,0.0
84012,Micro-terrains,BEAUMES-DE-VENISE,3823.529411764706,7,0.7142857142857143
84012,Terrains Standards,BEAUMES-DE-VENISE,1000.0,20,0.7
84013,Terrains Standards,BEAUMETTES,1400.0,2,0.5
84014,Terrains Standards,BEAUMONT-DE-PERTUIS,533.6792836792837,8,0.5
84015,Terrains Standards,BEAUMONT-DU-VENTOUX,23.092105263157897,4,0.75
84016,Micro-terrains,BEDARRIDES,4250.0,3,0.6666666666666666
84016,Terrains Standards,BEDARRIDES,600.0,23,0.43478260869565216
84017,Micro-terrains,BEDOIN,8.333333333333334,17,0.8235294117647058
84017,Terrains Standards,BEDOIN,727.2727272727273,43,0.6046511627906976
84018,Grands Domaines,BLAUVAC,2.700779640745089,4,1.0
84018,Micro-terrains,BLAUVAC,4000.0,1,1.0
84018,Terrains Standards,BLAUVAC,1100.6,3,0.3333333333333333
84019,Micro-terrains,BOLLENE,1892.8571428571431,20,0.7
84019,Terrains Standards,BOLLENE,434.4075940860215,124,0.45161290322580644
84020,Micro-terrains,BONNIEUX,6224.489795918367,2,0.5
84020,Terrains Standards,BONNIEUX,1557.2390572390573,19,0.6842105263157895
84022,Grands Domaines,BUISSON,339.32135728542914,1,1.0
84022,Micro-terrains,BUISSON,197.16666666666666,1,1.0
84022,Terrains Standards,BUISSON,762.0,21,0.5714285714285714
84023,Micro-terrains,BUOUX,738.0952380952381,2,1.0
84023,Terrains Standards,BUOUX,4.490690032858708,1,1.0
84024,Grands Domaines,CABRIERES-D AIGUES,7.134767836919592,1,1.0
84024,Terrains Standards,CABRIERES-D AIGUES,354.80859010270774,3,0.6666666666666666
84025,Terrains Standards,CABRIERES-D AVIGNON,423.20940088026026,12,0.6666666666666666
84026,Micro-terrains,CADENET,5186.792207792208,8,0.5
84026,Terrains Standards,CADENET,535.25,40,0.45
84027,Terrains Standards,CADEROUSSE,637.7498980008161,16,0.375
84028,Micro-terrains,CAIRANNE,12049.032258064515,4,1.0
84028,Terrains Standards,CAIRANNE,765.7585365853658,16,0.5625
84029,Micro-terrains,CAMARET-SUR-AIGUES,9486.95652173913,5,1.0
84029,Terrains Standards,CAMARET-SUR-AIGUES,498.39228295819936,49,0.5510204081632653
84030,Micro-terrains,CAROMB,8981.25,6,0.8333333333333334
84030,Terrains Standards,CAROMB,469.8097601323408,36,0.5
84031,Micro-terrains,CARPENTRAS,5045.454545454545,20,0.35
84031,Terrains Standards,CARPENTRAS,710.2794411177645,185,0.3027027027027027
84032,Grands Domaines,CASENEUVE,171.07142857142858,2,0.5
84032,Terrains Standards,CASENEUVE,2298.8505747126437,18,0.7222222222222222
84033,Micro-terrains,CASTELLET,21209.333333333332,4,0.75
84033,Terrains Standards,CASTELLET,3478.179441473559,2,1.0
84034,Terrains Standards,CAUMONT-SUR-DURANCE,372.67080745341616,17,0.23529411764705882
84035,Grands Domaines,CAVAILLON,81.39075464243382,5,0.6
84035,Micro-terrains,CAVAILLON,4062.5,16,0.6875
84035,Terrains Standards,CAVAILLON,758.4677314955833,188,0.4308510638297872
84036,Micro-terrains,CHATEAUNEUF-DE-GADAGNE,4288.011695906433,2,0.5
84036,Terrains Standards,CHATEAUNEUF-DE-GADAGNE,694.0577249575551,23,0.43478260869565216
84037,Grands Domaines,CHATEAUNEUF-DU-PAPE,10.581624051699915,135,0.6592592592592592
84037,Micro-terrains,CHATEAUNEUF-DU-PAPE,3102.5641025641025,2,0.5
84037,Terrains Standards,CHATEAUNEUF-DU-PAPE,136.8209255533199,64,0.28125
84038,Micro-terrains,CHEVAL-BLANC,6363.636363636364,1,1.0
84038,Terrains Standards,CHEVAL-BLANC,671.1666666666666,21,0.3333333333333333
84039,Micro-terrains,COURTHEZON,14666.666666666666,1,1.0
84039,Terrains Standards,COURTHEZON,498.92005610098175,35,0.34285714285714286
84040,Terrains Standards,CRESTET (LE),586.2745098039215,7,0.8571428571428571
84041,Terrains Standards,CRILLON-LE-BRAVE,1305.084745762712,9,0.5555555555555556
84042,Micro-terrains,CUCURON,4944.444444444444,4,0.25
84042,Terrains Standards,CUCURON,583.3333333333334,11,0.7272727272727273
84043,Micro-terrains,ENTRAIGUES-SUR-LA-SORGUE,2055.5555555555557,7,0.5714285714285714
84043,Terrains Standards,ENTRAIGUES-SUR-LA-SORGUE,425.1556156968877,64,0.4375
84044,Grands Domaines,ENTRECHAUX,1.7683465959328029,1,1.0
84044,Micro-terrains,ENTRECHAUX,2896.0,4,1.0
84044,Terrains Standards,ENTRECHAUX,706.060606060606,25,0.76
84045,Terrains Standards,FAUCON,482.6732673267327,5,0.4
84046,Micro-terrains,FLASSAN,4383.258928571428,2,1.0
84046,Terrains Standards,FLASSAN,1513.235294117647,2,0.5
84047,Terrains Standards,GARGAS,407.80181086519116,21,0.5238095238095238
84048,Grands Domaines,GIGNAC,8.634395044131352,2,1.0
84048,Micro-terrains,GIGNAC,538.4615384615385,3,1.0
84048,Terrains Standards,GIGNAC,473.2720463057542,4,1.0
