insee_code;school_name;secteur;ips_score
35031;ECOLE PRIMAIRE PRIVEE ST JOSEPH;privé sous contrat;117.4
35037;ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC;privé sous contrat;111.7
35040;ECOLE PRIMAIRE PRIVEE NOTRE DAME;privé sous contrat;107.5
35047;ECOLE PRIMAIRE PRIVEE LA PROVIDENCE VERT BUISSON;privé sous contrat;126.0
35061;ECOLE PRIMAIRE PRIVEE STE MARIE;privé sous contrat;89.9
35070;ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC;privé sous contrat;114.3
35072;ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC;privé sous contrat;98.8
35080;ECOLE PRIMAIRE PRIVEE ST JOSEPH;privé sous contrat;114.9
35109;ECOLE PRIMAIRE PRIVEE NOTRE DAME DE LOURDES;privé sous contrat;103.1
35117;ECOLE PRIMAIRE PRIVEE ST FRANCOIS;privé sous contrat;102.7
35121;ECOLE PRIMAIRE PRIVEE JEANNE MARIE LEBOSSE;privé sous contrat;109.5
35127;ECOLE PRIMAIRE PRIVEE SAINT JOSEPH;privé sous contrat;111.0
35272;ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC;privé sous contrat;99.1
35275;ECOLE PRIMAIRE PRIVEE LE SACRE COEUR;privé sous contrat;128.0
35278;ECOLE PRIMAIRE PRIVEE NOTRE DAME;privé sous contrat;139.3
35326;ECOLE PRIMAIRE PRIVEE ST JEAN BOSCO;privé sous contrat;111.9
35338;ECOLE PRIMAIRE PRIVEE ST JOSEPH;privé sous contrat;99.2
35215;ECOLE PRIMAIRE PRIVEE ST JOSEPH;privé sous contrat;100.4
35219;ECOLE PRIMAIRE PRIVEE LA PROVIDENCE;privé sous contrat;104.1
35227;ECOLE PRIMAIRE PRIVEE ST MELAINE;privé sous contrat;115.0
35238;ECOLE PRIMAIRE PRIVEE ST VINCENT PROVIDENCE;privé sous contrat;143.8
35238;ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC;privé sous contrat;139.1
35238;ECOLE PRIMAIRE PRIVEE ST JOSEPH;privé sous contrat;123.1
35256;ECOLE PRIMAIRE PRIVEE STE ANNE;privé sous contrat;123.8
35350;ECOLE PRIMAIRE PRIVEE ST AIGNAN;privé sous contrat;92.5
35360;ECOLE ELEMENTAIRE PRIVEE STE JEANNE D ARC;privé sous contrat;110.4
35295;ECOLE PRIMAIRE PUBLIQUE DE ST MAUGAN;public;97.0
35353;ECOLE ELEMENTAIRE PUBLIQUE ERIC TABARLY;public;108.6
35029;ECOLE PRIMAIRE PUBLIQUE HENRI MATISSE;public;94.4
35070;ECOLE PRIMAIRE PUBLIQUE L ECOLE DU PARC;public;96.3
35101;ECOLE PRIMAIRE PUBLIQUE LES COURS D EAU;public;103.1
35144;ECOLE PRIMAIRE PUBLIQUE LE VIEUX MUR;public;108.7
35161;ECOLE PRIMAIRE PUBLIQUE CHARLES PERRAULT;public;94.1
35164;ECOLE ELEMENTAIRE PUBLIQUE DE MARCILLE RAOUL;public;98.2
35172;ECOLE PRIMAIRE PUBLIQUE LA TRIBU ARC EN CIEL;public;103.7
35178;ECOLE PRIMAIRE PUBLIQUE LA VALLEE VERTE;public;113.8
35256;ECOLE PRIMAIRE PUBLIQUE LES CAP HORNIERS;public;118.4
35259;ECOLE PRIMAIRE PUBLIQUE LE VIEUX CHENE;public;92.8
35042;ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC;privé sous contrat;99.7
35233;ECOLE PRIMAIRE PUBLIQUE DE LA LIBERTE;public;116.1
35288;ECOLE ELEMENTAIRE PUBLIQUE LA DECOUVERTE;public;74.9
35334;ECOLE ELEMENTAIRE PUBLIQUE LES GRANDS PRES VERTS;public;124.6
35130;ECOLE PRIMAIRE PUBLIQUE LES COURTILLETS;public;122.7
35247;ECOLE PRIMAIRE PUBLIQUE LA FEE DES GREVES;public;98.0
35075;ECOLE PRIMAIRE PUBLIQUE DE CHAUVIGNE;public;92.9
35131;ECOLE ELEMENTAIRE PUBLIQUE EUGENE ALLANIC;public;110.3
35200;ECOLE PRIMAIRE PRIVEE STE THERESE;privé sous contrat;95.2
35219;ECOLE PRIMAIRE PUBLIQUE JEAN DE LA FONTAINE;public;97.9
35051;ECOLE ELEMENTAIRE PUBLIQUE BEAUSOLEIL;public;135.4
35238;ECOLE ELEMENTAIRE PUBLIQUE JULES ISAAC;public;114.7
35274;ECOLE PRIMAIRE PUBLIQUE ARMANDINE MALLET;public;123.0
35238;ECOLE ELEMENTAIRE PUBLIQUE CLOTEAUX;public;98.6
35238;ECOLE ELEMENTAIRE PUBLIQUE JULES FERRY;public;107.0
35228;ECOLE PRIMAIRE PRIVEE ST PIERRE;privé sous contrat;116.7
35238;ECOLE ELEMENTAIRE PUBLIQUE JEAN MOULIN;public;85.6
35097;ECOLE PRIMAIRE PRIVEE STE ANNE;privé sous contrat;98.2
35288;ECOLE PRIMAIRE PRIVEE STE CROIX STE AGNES;privé sous contrat;128.2
35288;ECOLE PRIMAIRE PUBLIQUE PIERRE JAKEZ HELIAS;public;101.0
35326;ECOLE PRIMAIRE PUBLIQUE DE SENS DE BRETAGNE;public;106.5
35019;ECOLE PRIMAIRE PUBLIQUE VILLECARTIER;public;98.2
35236;ECOLE PRIMAIRE PRIVEE NOTRE DAME;privé sous contrat;124.6
35066;ECOLE PRIMAIRE PRIVEE STE MARIE;privé sous contrat;128.8
35176;ECOLE PRIMAIRE PUBLIQUE LA ROCHE DES GREES;public;104.8
35001;ECOLE PRIMAIRE PRIVEE STE JEANNE D ARC;privé sous contrat;124.3
35136;ECOLE PRIMAIRE PRIVEE LE SACRE COEUR;privé sous contrat;116.0
35236;ECOLE PRIMAIRE PRIVEE ST MICHEL;privé sous contrat;122.5
35352;ECOLE ELEMENTAIRE PUBLIQUE NOEL DU FAIL;public;123.7
35238;ECOLE PRIMAIRE PRIVEE ST JEAN BOSCO;privé sous contrat;103.5
35238;ECOLE PRIMAIRE PRIVEE ST YVES;privé sous contrat;136.2
35253;ECOLE PRIMAIRE PUBLIQUE ALIX DE BRETAGNE;public;121.1
35292;ECOLE ELEMENTAIRE PUBLIQUE LE PICAOU;public;101.8
35055;ECOLE PRIMAIRE PUBLIQUE LES LANDES;public;113.2
35024;ECOLE PRIMAIRE PUBLIQUE LES MEZIERES;public;119.6
