insee_code;nb_households;nb_inhabitants;consumption_units;median_income;taxable_households_rate;solo_median_income;family_median_income
02023;43.0;100.0;68.1;22610.0;;;
02024;;;;;;;
02025;131.0;343.0;224.2;23930.0;;;
02027;94.0;210.0;145.8;19990.0;;;
02028;1101.0;2588.0;1758.2;22820.0;-13.8;;24870.0
02029;141.0;332.0;227.1;24790.0;;;
02030;110.0;254.0;177.8;22440.0;;;
02031;279.0;638.0;435.5;18600.0;;;
02032;98.0;227.0;155.1;20000.0;;;
02033;48.0;106.0;74.8;26440.0;;;
02034;44.0;120.0;75.8;21270.0;;;
02035;95.0;257.0;164.4;19950.0;;;
02036;;;;;;;
02037;544.0;1337.0;894.5;21970.0;;;
02038;;;;;;;
02039;58.0;146.0;97.2;20530.0;;;
02040;65.0;168.0;111.6;21270.0;;;
02041;352.0;814.0;561.1;23160.0;;;
02042;158.0;367.0;252.5;23970.0;;;
02043;;;;;;;
02044;;;;;;;
02046;240.0;560.0;383.6;23250.0;;;
02047;47.0;107.0;76.4;23580.0;;;
02048;54.0;126.0;84.0;22840.0;;;
02049;313.0;750.0;503.6;23500.0;;;
02050;127.0;304.0;206.6;21140.0;;;
02051;165.0;386.0;265.4;25580.0;;;
02052;58.0;131.0;89.7;22970.0;;;
02053;248.0;553.0;387.5;26580.0;;;
02054;206.0;544.0;354.5;24020.0;;;
02055;;;;;;;
02056;72.0;181.0;121.1;22300.0;;;
02057;529.0;1184.0;822.4;19030.0;;;
02058;317.0;789.0;524.3;20510.0;;;
02059;1123.0;2415.0;1690.5;17760.0;-10.7;;20830.0
02060;106.0;249.0;169.5;22740.0;;;
02061;94.0;277.0;173.3;19290.0;;;
02062;54.0;136.0;91.0;28100.0;;;
02063;156.0;390.0;259.4;22500.0;;;
02064;1637.0;3553.0;2495.2;20140.0;-12.3;19200.0;23610.0
02065;231.0;568.0;380.1;21080.0;;;
02066;88.0;211.0;142.5;22250.0;;;
02067;85.0;216.0;144.5;23420.0;;;
02068;;;;;;;
02069;;;;;;;
02070;183.0;432.0;294.4;22110.0;;;
02071;258.0;632.0;425.7;23920.0;;;
02072;79.0;186.0;124.8;25760.0;;;
02073;249.0;656.0;424.5;21950.0;;;
02074;230.0;557.0;372.4;21750.0;;;
02075;78.0;203.0;133.4;22760.0;;;
02076;57.0;161.0;102.5;28980.0;;;
02077;163.0;390.0;265.3;24940.0;;;
02078;63.0;165.0;107.6;21360.0;;;
02079;63.0;133.0;96.0;20070.0;;;
02080;140.0;308.0;217.6;26260.0;;;
02081;166.0;435.0;286.2;24090.0;;;
02082;47.0;112.0;75.3;22980.0;;;
02083;300.0;749.0;501.2;23490.0;;;
02084;104.0;267.0;173.3;25230.0;;;
02085;351.0;1003.0;636.4;23830.0;;;
02086;420.0;973.0;667.6;22450.0;;;
02087;;;;;;;
02088;;;;;;;
02089;492.0;1139.0;780.8;22590.0;;;
02090;72.0;185.0;120.4;22540.0;;;
02091;43.0;106.0;69.5;23880.0;;;
02093;523.0;1207.0;822.6;19760.0;;;
02094;187.0;484.0;317.7;25760.0;;;
02095;2347.0;5267.0;3614.7;16190.0;-10.4;16630.0;19720.0
02096;79.0;185.0;125.4;23420.0;;;
02097;103.0;258.0;170.1;19640.0;;;
02098;145.0;360.0;242.0;26710.0;;;
02099;89.0;225.0;149.9;22880.0;;;
02100;48.0;129.0;82.9;19850.0;;;
02101;71.0;159.0;109.9;21500.0;;;
02102;75.0;181.0;121.9;23830.0;;;
02103;563.0;1263.0;867.0;20360.0;;;
02104;44.0;101.0;69.9;27530.0;;;
02105;78.0;193.0;128.6;23410.0;;;
02106;286.0;690.0;460.4;20250.0;;;
02107;;;;;;;
02108;60.0;138.0;94.4;25450.0;;;
02109;197.0;463.0;314.3;20990.0;;;
02110;898.0;2059.0;1406.7;20580.0;-12.7;;22490.0
02111;285.0;698.0;467.3;23310.0;;;
02112;246.0;577.0;393.7;22020.0;;;
02114;667.0;1559.0;1059.8;22080.0;;;
02115;91.0;205.0;141.5;22290.0;;;
02116;64.0;141.0;99.1;21300.0;;;
02117;;;;;;;
02118;52.0;128.0;84.2;22420.0;;;
02119;131.0;296.0;206.2;23500.0;;;
02120;75.0;189.0;126.3;22100.0;;;
02121;95.0;219.0;150.9;21500.0;;;
02122;;;;;;;
02123;127.0;300.0;205.0;22810.0;;;
02124;275.0;641.0;436.4;21140.0;;;
02125;70.0;196.0;126.6;23200.0;;;
02126;192.0;435.0;298.4;17550.0;;;
02127;80.0;196.0;131.8;20700.0;;;
02128;686.0;1451.0;1032.9;23910.0;;;
02129;;;;;;;
02130;79.0;197.0;130.8;19480.0;;;
02131;775.0;1891.0;1274.0;23900.0;;;
02132;74.0;195.0;128.1;24200.0;;;
02133;175.0;404.0;275.9;19120.0;;;
02134;351.0;805.0;555.1;21200.0;;;
02135;460.0;1067.0;727.7;19400.0;;;
02136;55.0;133.0;90.8;23000.0;;;
02137;48.0;130.0;84.4;23060.0;;;
02138;75.0;185.0;123.8;25330.0;;;
02139;182.0;452.0;298.8;23580.0;;;
02140;174.0;436.0;290.0;20540.0;;;
02141;759.0;1532.0;1098.5;18690.0;;;
02142;90.0;246.0;158.7;26180.0;;;
02143;82.0;182.0;126.1;20010.0;;;
02144;53.0;144.0;93.7;24290.0;;;
02145;218.0;560.0;371.1;23920.0;;;
02146;;;;;;;
02148;103.0;237.0;164.3;22490.0;;;
02149;;;;;;;
02150;;;;;;;
02151;;;;;;;
02152;;;;;;;
02153;321.0;793.0;529.4;23530.0;;;
02154;148.0;387.0;249.7;22240.0;;;
02155;83.0;192.0;130.4;24300.0;;;
02156;96.0;219.0;150.0;20700.0;;;
02157;361.0;808.0;558.7;22440.0;;;
02158;109.0;254.0;172.2;21760.0;;;
02159;116.0;283.0;190.1;20810.0;;;
02160;209.0;487.0;333.2;19710.0;;;
02162;101.0;282.0;179.6;23470.0;;;
02163;1066.0;2502.0;1694.7;21500.0;-15.9;;25750.0
02164;135.0;324.0;217.7;22620.0;;;
02165;717.0;1574.0;1096.4;20900.0;;;
02166;162.0;382.0;258.3;24770.0;;;
02167;326.0;870.0;563.7;23340.0;;;
02168;6760.0;14554.0;10105.3;19150.0;-14.0;19240.0;24880.0
02169;;;;;;;
02170;58.0;132.0;91.4;24780.0;;;
02171;40.0;100.0;66.3;24500.0;;;
02172;93.0;244.0;160.5;24190.0;;;
02173;5358.0;10997.0;7825.9;18580.0;-13.0;18860.0;21730.0
02174;308.0;828.0;536.5;22600.0;;;
02175;62.0;160.0;106.6;21230.0;;;
02176;75.0;207.0;133.2;20760.0;;;
