median_income,nb_households,median_price_m2,predicted_price,residual_error,insee_code,commune,dept_code
23570.0,1633.0,3343.5294117647063,2990.30386015955,353.2255516051564,01376,SAINT-MAURICE-DE-BEYNOST,01
24110.0,308.0,2059.3406593406594,1921.215645866035,138.12501347462444,01379,SAINT-MAURICE-DE-REMENS,01
22400.0,273.0,1319.4444444444443,1483.1363073368389,-163.6918628923945,01380,SAINT-NIZIER-LE-BOUCHOUX,01
23200.0,600.0,2505.050505050505,2414.7071580349466,90.34334701555827,01383,SAINT-PAUL-DE-VARAX,01
20170.0,974.0,1842.9487179487178,1721.6414131737502,121.30730477496763,01384,SAINT-RAMBERT-EN-BUGEY,01
26690.0,491.0,2299.5726495726494,2364.5944083901354,-65.02175881748599,01386,SAINT-SORLIN-EN-BUGEY,01
27660.0,263.0,2086.5384615384614,2193.342587477594,-106.80412593913252,01392,SAMOGNAT,01
25970.0,219.0,3402.4229691876753,3194.364291786191,208.05867740148415,01393,SANDRANS,01
26370.0,560.0,2393.2645897323387,2315.57714598683,77.68744374550852,01398,SAVIGNEUX,01
23780.0,434.0,3333.3333333333335,2785.542583445862,547.7907498874715,01407,SEYSSEL,01
23210.0,280.0,1047.2582972582973,1290.6290294772814,-243.37073221898413,01408,SIMANDRE-SUR-SURAN,01
31610.0,658.0,3700.996835443038,3353.8657027841728,347.1311326588652,01424,TRAMOYES,01
24280.0,1058.0,2147.7988878591286,2070.672307231604,77.12658062752462,01426,VAL-REVERMONT,01
23920.0,2941.0,3264.3724696356276,3262.557624845273,1.8148447903545275,01427,TREVOUX,01
25240.0,532.0,2278.481012658228,2333.2199876002833,-54.73897494205539,01431,VAUX-EN-BUGEY,01
24480.0,2154.0,2672.5,2624.765258589557,47.73474141044289,01443,VILLARS-LES-DOMBES,01
22700.0,536.0,2166.6666666666665,1989.8638725233918,176.8027941432747,01444,VILLEBOIS,01
26440.0,598.0,2249.1496598639455,2292.4625678558923,-43.31290799194676,01446,VILLENEUVE,01
23600.0,566.0,1719.356796116505,1766.5154811726054,-47.15868505610047,01447,VILLEREVERSURE,01
